iter	Logloss
0	0.6212936691
1	0.58559697
2	0.5594107093
3	0.5434396476
4	0.5305214831
5	0.5098688397
6	0.4968113055
7	0.4887338295
8	0.4807043303
9	0.4699785639
10	0.464275648
11	0.4589322789
12	0.451545863
13	0.4466969421
14	0.4416406442
15	0.4360490365
16	0.4301742793
17	0.4265396463
18	0.4238536107
19	0.4206090344
20	0.4171596657
21	0.4131853454
22	0.4076508384
23	0.4046407555
24	0.3997287062
25	0.3961782259
26	0.3929497281
27	0.3898611984
28	0.3884038725
29	0.3864476269
30	0.3844895087
31	0.3826121922
32	0.3803559384
33	0.3766248887
34	0.375118751
35	0.3721079291
36	0.3706870419
37	0.3692100183
38	0.3677212382
39	0.3658806383
40	0.3644871713
41	0.3631859167
42	0.3618605962
43	0.3589945198
44	0.3579622932
45	0.3563798206
46	0.3538760013
47	0.3528997525
48	0.3519174298
49	0.3497395066
50	0.3485670336
51	0.3474687712
52	0.346716841
53	0.3448635374
54	0.3432821819
55	0.341924107
56	0.3410560859
57	0.3399976689
58	0.3390527296
59	0.3383450753
60	0.3371226251
61	0.3361416573
62	0.3342514088
63	0.3337975594
64	0.3333459561
65	0.3319641218
66	0.331253198
67	0.3304493955
68	0.3291704253
69	0.3284582106
70	0.3278926163
71	0.3262917647
72	0.3244784233
73	0.323978287
74	0.3231191857
75	0.3223334592
76	0.3217251006
77	0.320993091
78	0.3198404658
79	0.3192197176
80	0.3182526408
81	0.3178091832
82	0.3164877637
83	0.315982326
84	0.3151454955
85	0.3146229555
86	0.3134995755
87	0.3131219035
88	0.3122797396
89	0.3118199806
90	0.3111958671
91	0.3106866616
92	0.3101346549
93	0.3090146546
94	0.3084162469
95	0.3076407707
96	0.3071943547
97	0.3055861674
98	0.3047542244
99	0.3031337794
100	0.3027011824
101	0.3022463672
102	0.3016512963
103	0.3012279595
104	0.3006998039
105	0.3000496387
106	0.299161889
107	0.2987295483
108	0.2982950981
109	0.2975303303
110	0.2968920647
111	0.2959966479
112	0.2952903576
113	0.2944571213
114	0.2938940962
115	0.2931714446
116	0.2926674852
117	0.2923446191
118	0.2912133618
119	0.2907438043
120	0.290390168
121	0.2895092272
122	0.2892292852
123	0.2888476606
124	0.2881027348
125	0.2876691076
126	0.2871668278
127	0.2869125546
128	0.286613346
129	0.2862294383
130	0.2858027429
131	0.2851826722
132	0.2846693451
133	0.2843498494
134	0.2838444794
135	0.2829189022
136	0.2825301562
137	0.2820656081
138	0.2812613464
139	0.2808494713
140	0.2804949006
141	0.2800687878
142	0.2797337989
143	0.2792437527
144	0.2783702256
145	0.2780606549
146	0.2773388312
147	0.2768515614
148	0.2765244349
149	0.2756403648
150	0.2749245961
151	0.2745008637
152	0.2741222097
153	0.2737641132
154	0.2734185476
155	0.2730953039
156	0.2728684934
157	0.2725306782
158	0.2721455053
159	0.2718338928
160	0.2715085009
161	0.2712210998
162	0.2710911335
163	0.2704380319
164	0.2701411163
165	0.2699443057
166	0.2696722007
167	0.2693894952
168	0.2691101131
169	0.2688597172
170	0.2684487402
171	0.268104264
172	0.2677423189
173	0.2672476564
174	0.2670197521
175	0.266864647
176	0.2665493411
177	0.266049529
178	0.2657149651
179	0.2653201943
180	0.2651824358
181	0.2648550104
182	0.264480708
183	0.2640876412
184	0.2637618107
185	0.2634947493
186	0.2632822958
187	0.2630609532
188	0.2628095776
189	0.2624681187
190	0.2622319625
191	0.2619794386
192	0.2617690249
193	0.2614003442
194	0.2610060015
195	0.2606913277
196	0.2604593223
197	0.2602540576
198	0.2598231805
199	0.2596098094
200	0.2593117551
201	0.2590380245
202	0.2588156478
203	0.2585262158
204	0.2582216587
205	0.2578425088
206	0.2576755684
207	0.2574543189
208	0.2572613357
209	0.2569200357
210	0.2567240903
211	0.2562632278
212	0.2560618803
213	0.2557517707
214	0.2555491364
215	0.2551544998
216	0.2548214359
217	0.2544463195
218	0.2541491804
219	0.2538269095
220	0.2531597062
221	0.2529601353
222	0.2526835973
223	0.2523983867
224	0.2520730264
225	0.2515716528
226	0.2512931097
227	0.2510827833
228	0.2509216307
229	0.2507127858
230	0.2505137218
231	0.2502411774
232	0.2501122103
233	0.2497636563
234	0.2496248826
235	0.2494582874
236	0.249228944
237	0.2490571103
238	0.2488989123
239	0.2487017128
240	0.2484345892
241	0.2483149412
242	0.2480801108
243	0.2478520923
244	0.2475486542
245	0.2472681189
246	0.2467235547
247	0.2466007045
248	0.2464163075
249	0.2462358742
250	0.2460806731
251	0.2459209476
252	0.2456681341
253	0.245272234
254	0.2450764605
255	0.2449134534
256	0.2446880072
257	0.2444686472
258	0.2442980436
259	0.2441010911
260	0.2439791746
261	0.2437346762
262	0.24362608
263	0.2434306913
264	0.2432750838
265	0.2430895425
266	0.242861987
267	0.2426906052
268	0.2424884799
269	0.2422699129
270	0.2420131107
271	0.2418602085
272	0.2416813554
273	0.2415048994
274	0.2412278348
275	0.2410229804
276	0.2407192399
277	0.2404613402
278	0.2403743254
279	0.2402815642
280	0.2400913781
281	0.2399358068
282	0.2396930256
283	0.2395321863
284	0.2391751355
285	0.2390262517
286	0.2388041873
287	0.2384924088
288	0.2383507242
289	0.2380214894
290	0.2377532732
