iter	Passed	Remaining
0	14	4197
1	24	3603
2	35	3370
3	44	3174
4	53	3066
5	63	3013
6	73	3000
7	82	2934
8	93	2934
9	103	2909
10	112	2859
11	122	2840
12	131	2820
13	141	2804
14	151	2788
15	161	2770
16	170	2754
17	180	2742
18	190	2733
19	201	2723
20	210	2712
21	220	2698
22	230	2687
23	240	2674
24	250	2661
25	260	2651
26	270	2644
27	280	2639
28	291	2635
29	302	2631
30	312	2623
31	323	2618
32	334	2614
33	344	2605
34	355	2598
35	365	2591
36	376	2583
37	387	2578
38	397	2567
39	407	2558
40	418	2550
41	428	2541
42	439	2536
43	450	2528
44	460	2518
45	471	2509
46	481	2499
47	491	2487
48	500	2473
49	510	2461
50	521	2452
51	531	2441
52	541	2430
53	551	2419
54	562	2413
55	573	2404
56	583	2394
57	594	2388
58	605	2380
59	615	2368
60	625	2357
61	635	2348
62	646	2339
63	656	2328
64	666	2318
65	677	2309
66	687	2299
67	698	2290
68	709	2282
69	720	2273
70	730	2262
71	740	2251
72	750	2240
73	760	2230
74	771	2221
75	781	2210
76	792	2201
77	803	2193
78	813	2183
79	823	2173
80	834	2162
81	844	2152
82	855	2142
83	865	2132
84	875	2122
85	886	2112
86	896	2102
87	907	2092
88	917	2081
89	927	2072
90	937	2061
91	947	2049
92	957	2039
93	968	2029
94	978	2017
95	988	2007
96	998	1996
97	1008	1985
98	1018	1975
99	1028	1964
100	1038	1953
101	1048	1942
102	1058	1931
103	1068	1921
104	1078	1910
105	1088	1899
106	1098	1889
107	1108	1878
108	1118	1867
109	1128	1857
110	1138	1846
111	1148	1836
112	1159	1825
113	1168	1814
114	1178	1804
115	1188	1793
116	1198	1783
117	1208	1772
118	1218	1761
119	1228	1750
120	1238	1739
121	1248	1729
122	1258	1719
123	1268	1708
124	1278	1697
125	1288	1686
126	1298	1676
127	1307	1665
128	1317	1654
129	1327	1643
130	1337	1634
131	1348	1623
132	1358	1613
133	1368	1602
134	1378	1592
135	1389	1583
136	1399	1573
137	1410	1563
138	1420	1553
139	1431	1543
140	1442	1534
141	1453	1525
142	1464	1515
143	1474	1505
144	1485	1495
145	1495	1485
146	1506	1475
147	1516	1465
148	1526	1455
149	1537	1445
150	1548	1435
151	1558	1425
152	1569	1415
153	1579	1405
154	1590	1395
155	1599	1384
156	1610	1374
157	1621	1364
158	1631	1354
159	1642	1344
160	1652	1334
161	1663	1324
162	1672	1313
163	1682	1303
164	1692	1292
165	1702	1281
166	1712	1271
167	1722	1260
168	1731	1250
169	1741	1239
170	1751	1229
171	1761	1218
172	1771	1208
173	1781	1197
174	1790	1187
175	1800	1176
176	1810	1166
177	1820	1155
178	1830	1145
179	1840	1135
180	1850	1124
181	1860	1114
182	1870	1103
183	1880	1093
184	1890	1083
185	1901	1073
186	1910	1062
187	1920	1052
188	1930	1041
189	1940	1031
190	1950	1021
191	1960	1010
192	1970	1000
193	1980	990
194	1990	980
195	2000	969
196	2010	959
197	2020	949
198	2030	938
199	2040	928
200	2050	918
201	2060	907
202	2070	897
203	2079	887
204	2090	876
205	2100	866
206	2110	856
207	2119	845
208	2129	835
209	2138	825
210	2148	814
211	2158	804
212	2168	794
213	2177	783
214	2187	773
215	2197	763
216	2208	752
217	2217	742
218	2228	732
219	2238	722
220	2248	712
221	2258	701
222	2267	691
223	2278	681
224	2288	671
225	2298	660
226	2308	650
227	2318	640
228	2327	630
229	2337	619
230	2346	609
231	2357	599
232	2367	589
233	2377	579
234	2387	568
235	2396	558
236	2406	548
237	2416	538
238	2426	527
239	2435	517
240	2446	507
241	2456	497
242	2466	487
243	2476	477
244	2487	466
245	2496	456
246	2506	446
247	2516	436
248	2526	426
249	2536	416
250	2547	405
251	2557	395
252	2567	385
253	2578	375
254	2631	371
255	2652	362
256	2666	352
257	2677	342
258	2687	332
259	2698	321
260	2708	311
261	2719	300
262	2729	290
263	2739	280
264	2750	269
265	2759	259
266	2769	248
267	2779	238
268	2790	228
269	2801	217
270	2813	207
271	2823	197
272	2833	186
273	2843	176
274	2853	166
275	2863	155
276	2873	145
277	2882	134
278	2892	124
279	2901	113
280	2911	103
281	2921	93
282	2931	82
283	2940	72
284	2951	62
285	2960	51
286	2970	41
287	2981	31
288	2990	20
289	3000	10
290	3010	0
